country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Swaziland,4.38,,,,,4.37,,,,,4.27,,,,,4.25,,,,,4.23,,,,,4.21,,,,,4.2,,,,,4.17,,,,,4.28,,,,,4.46,,,,,4.66,,,,,4.6,,,,,4.67,,,,,4.77,,,,,4.94,,,,,5.16,,,,,5.41,,,,,5.69,,,,,6.33,,,,,7.74,,,,,9.87,,,,,12.1,,,,,13.9,,,,,15.4,,,,,17.1,,,,,18.9,,,,,20.8,,,,,22.4,,,,,23.9,,,,,25.3,,,,,26.6
Sweden,13.3,,,,,14.2,,,,,15.1,,,,,16.2,,,,,17.3,,,,,18.3,,,,,18.8,,,,,19.4,,,,,22.8,,,,,22.1,,,,,22.2,,,,,23.5,,,,,24.9,,,,,25.2,,,,,25.9,,,,,26.9,,,,,28.3,,,,,29.1,,,,,29.3,,,,,29.6,,,,,30.4,,,,,31.6,,,,,31.4,,,,,31.3,,,,,31.8,,,,,32.3,,,,,32.9,,,,,33.4,,,,,33.9,,,,,34.3,,,,,34.8
Switzerland,12.8,,,,,13,,,,,13.5,,,,,13.8,,,,,14.5,,,,,15.3,,,,,15.6,,,,,15.9,,,,,19.5,,,,,19.5,,,,,20.2,,,,,21.3,,,,,22.8,,,,,23.5,,,,,25.3,,,,,28,,,,,30.6,,,,,32,,,,,33,,,,,34.2,,,,,35,,,,,35.4,,,,,35.4,,,,,35.2,,,,,35.2,,,,,35.6,,,,,36.1,,,,,36.6,,,,,37.1,,,,,37.5,,,,,38
Syria,6.6,,,,,6.18,,,,,5.57,,,,,5.06,,,,,4.64,,,,,4.34,,,,,4.2,,,,,4.23,,,,,4.71,,,,,4.84,,,,,4.79,,,,,4.94,,,,,5.09,,,,,6.36,,,,,7.58,,,,,8.3,,,,,9.34,,,,,10.6,,,,,12.3,,,,,14.3,,,,,16.1,,,,,17.6,,,,,19.8,,,,,22.4,,,,,25,,,,,27.2,,,,,28.9,,,,,30.4,,,,,31.8,,,,,33.1,,,,,34.3
Tajikistan,7.04,,,,,6.9,,,,,6.95,,,,,7.05,,,,,6.73,,,,,6.04,,,,,5.4,,,,,5.05,,,,,6.25,,,,,5.88,,,,,5.59,,,,,5.11,,,,,4.93,,,,,5.46,,,,,6.46,,,,,7.62,,,,,8.69,,,,,9.62,,,,,10.5,,,,,11.7,,,,,13.6,,,,,15.1,,,,,16.3,,,,,17,,,,,18.2,,,,,19.9,,,,,21.7,,,,,23.2,,,,,24.4,,,,,25.7,,,,,27.2
Tanzania,3.61,,,,,3.71,,,,,3.79,,,,,3.86,,,,,3.91,,,,,3.95,,,,,4,,,,,4.03,,,,,4.35,,,,,4.38,,,,,4.44,,,,,4.57,,,,,4.7,,,,,4.65,,,,,4.7,,,,,4.81,,,,,5.05,,,,,5.46,,,,,5.99,,,,,6.57,,,,,7.19,,,,,7.87,,,,,8.62,,,,,9.55,,,,,10.6,,,,,11.8,,,,,13,,,,,14.1,,,,,15.3,,,,,16.5,,,,,17.8
Thailand,4.64,,,,,4.67,,,,,4.83,,,,,4.9,,,,,4.94,,,,,4.96,,,,,5.07,,,,,5.44,,,,,7.18,,,,,8.46,,,,,9.85,,,,,11.1,,,,,12.9,,,,,15.6,,,,,19.1,,,,,22.9,,,,,26.8,,,,,30.2,,,,,32.8,,,,,34.3,,,,,35.1,,,,,36.4,,,,,37.7,,,,,38.5,,,,,39.1,,,,,39.6,,,,,39.6,,,,,39.4,,,,,39.2,,,,,39.1,,,,,39
Timor-Leste,5.35,,,,,4.36,,,,,4.08,,,,,4.16,,,,,4.05,,,,,4.19,,,,,2.99,,,,,2.89,,,,,3.15,,,,,3.49,,,,,3.94,,,,,4.3,,,,,5.1,,,,,5.36,,,,,5.57,,,,,5.83,,,,,6.27,,,,,6.81,,,,,6.25,,,,,6.49,,,,,6.71,,,,,7.39,,,,,9.11,,,,,10.5,,,,,12.2,,,,,14,,,,,15.8,,,,,17.6,,,,,19.4,,,,,21.3,,,,,23
Togo,6.42,,,,,5.49,,,,,4.94,,,,,4.65,,,,,4.56,,,,,4.58,,,,,4.57,,,,,4.52,,,,,4.73,,,,,4.73,,,,,4.56,,,,,4.46,,,,,4.41,,,,,4.51,,,,,4.69,,,,,4.98,,,,,5.4,,,,,5.99,,,,,6.7,,,,,7.41,,,,,8.09,,,,,8.63,,,,,9.22,,,,,10.1,,,,,11.1,,,,,12.1,,,,,13,,,,,13.8,,,,,14.7,,,,,15.6,,,,,16.6
Tonga,2.95,,,,,3.99,,,,,4.82,,,,,4.38,,,,,3.93,,,,,4.25,,,,,4.86,,,,,5.38,,,,,7.01,,,,,7.95,,,,,8.24,,,,,8.29,,,,,7.99,,,,,8.14,,,,,9.05,,,,,9.64,,,,,10.4,,,,,11.6,,,,,12.2,,,,,12.7,,,,,12.7,,,,,13.9,,,,,15.5,,,,,17.4,,,,,19.4,,,,,20.8,,,,,21.8,,,,,22.8,,,,,24.1,,,,,25.7,,,,,27.2
Trinidad and Tobago,5.45,,,,,5.13,,,,,5.09,,,,,5.17,,,,,6.22,,,,,7.01,,,,,7.3,,,,,7.27,,,,,8.31,,,,,8.69,,,,,9.56,,,,,10.8,,,,,12.4,,,,,14.2,,,,,16.5,,,,,19,,,,,20.2,,,,,21.5,,,,,23.2,,,,,26.2,,,,,28.4,,,,,29,,,,,28.9,,,,,29,,,,,29.8,,,,,30.8,,,,,31.3,,,,,31.5,,,,,31.6,,,,,31.8,,,,,32.1
Tunisia,6.06,,,,,5.59,,,,,5.5,,,,,5.29,,,,,5.36,,,,,5.61,,,,,5.63,,,,,6.46,,,,,7.48,,,,,8.74,,,,,9.64,,,,,10,,,,,10.4,,,,,11.7,,,,,13.4,,,,,15.5,,,,,17.7,,,,,19.5,,,,,21.7,,,,,24.1,,,,,26.5,,,,,28,,,,,28.7,,,,,29,,,,,29.6,,,,,31.3,,,,,32.8,,,,,33.8,,,,,34.4,,,,,34.8,,,,,35.2
Turkey,5.05,,,,,4.9,,,,,5.41,,,,,5.72,,,,,6.02,,,,,6.53,,,,,6.01,,,,,6.02,,,,,7.27,,,,,8.28,,,,,8.96,,,,,9.56,,,,,10.4,,,,,11.5,,,,,12.9,,,,,14.9,,,,,17,,,,,19.4,,,,,21.9,,,,,24.4,,,,,26.6,,,,,28.5,,,,,30.4,,,,,32.1,,,,,33.5,,,,,34.8,,,,,36,,,,,36.8,,,,,37.5,,,,,38.1,,,,,38.6
Turkmenistan,8.93,,,,,7.92,,,,,7.05,,,,,6.72,,,,,6.46,,,,,6.05,,,,,5.33,,,,,5.14,,,,,6.18,,,,,6.17,,,,,6.56,,,,,6.06,,,,,6.08,,,,,6.81,,,,,8.1,,,,,9.47,,,,,10.7,,,,,11.7,,,,,12.9,,,,,14.1,,,,,15.9,,,,,17.5,,,,,17.9,,,,,18.3,,,,,18.9,,,,,20.9,,,,,22.5,,,,,23.7,,,,,24.4,,,,,25.2,,,,,26.1
Uganda,4.45,,,,,4.11,,,,,3.98,,,,,3.97,,,,,3.98,,,,,4.01,,,,,4.04,,,,,4.06,,,,,4.3,,,,,4.2,,,,,3.82,,,,,3.6,,,,,3.43,,,,,3.35,,,,,3.31,,,,,3.37,,,,,3.63,,,,,4.05,,,,,4.58,,,,,5.17,,,,,5.84,,,,,6.64,,,,,7.56,,,,,8.66,,,,,9.89,,,,,11.2,,,,,12.6,,,,,14,,,,,15.5,,,,,17,,,,,18.5
Ukraine,9.75,,,,,9.63,,,,,9.85,,,,,11.1,,,,,12.6,,,,,14,,,,,13.6,,,,,14.2,,,,,18.3,,,,,18.3,,,,,20.7,,,,,20.4,,,,,21,,,,,22.5,,,,,24,,,,,25.6,,,,,26.3,,,,,27.5,,,,,29.2,,,,,31.5,,,,,33.6,,,,,34,,,,,33,,,,,31.7,,,,,31.7,,,,,32,,,,,32.4,,,,,32.7,,,,,32.8,,,,,32.9,,,,,33.1
United Arab Emirates,5.43,,,,,5.36,,,,,5.22,,,,,3.02,,,,,2.15,,,,,2.69,,,,,1.92,,,,,1.93,,,,,1.93,,,,,1.8,,,,,1.72,,,,,1.69,,,,,1.54,,,,,1.96,,,,,3.18,,,,,5.48,,,,,8.1,,,,,11.5,,,,,14.4,,,,,16.6,,,,,18.7,,,,,20.5,,,,,22.6,,,,,24.7,,,,,26.9,,,,,28.8,,,,,29.7,,,,,30.3,,,,,30.9,,,,,31.5,,,,,32.2
United Kingdom,14.2,,,,,14.6,,,,,15,,,,,15.7,,,,,16.5,,,,,17.3,,,,,17.3,,,,,17.6,,,,,20.9,,,,,20.7,,,,,20.8,,,,,21.2,,,,,22.7,,,,,23.5,,,,,24.8,,,,,26.6,,,,,28.3,,,,,29.2,,,,,29.9,,,,,30.7,,,,,31.5,,,,,32,,,,,32.2,,,,,32.2,,,,,32.7,,,,,33.3,,,,,34,,,,,34.5,,,,,35,,,,,35.4,,,,,36
United States,11.3,,,,,11.7,,,,,11.8,,,,,12.1,,,,,12.5,,,,,13,,,,,13.8,,,,,14,,,,,16.9,,,,,16.4,,,,,16.2,,,,,16.7,,,,,18.4,,,,,20.6,,,,,22.9,,,,,24.8,,,,,25.9,,,,,26.4,,,,,26.7,,,,,27.2,,,,,27.8,,,,,28.7,,,,,29.3,,,,,30,,,,,30.7,,,,,31,,,,,31.5,,,,,32,,,,,32.5,,,,,33,,,,,33.4
Uruguay,10.4,,,,,10.3,,,,,10.4,,,,,10.8,,,,,11.4,,,,,12.5,,,,,12.9,,,,,13.6,,,,,16.5,,,,,17.1,,,,,17.4,,,,,17.9,,,,,18.4,,,,,19.1,,,,,20.2,,,,,21.2,,,,,22.1,,,,,23.5,,,,,25.1,,,,,26.1,,,,,27.5,,,,,29.3,,,,,30.8,,,,,32,,,,,33.1,,,,,34,,,,,34.8,,,,,35.6,,,,,36.2,,,,,36.7,,,,,37.2
Uzbekistan,8.76,,,,,8.58,,,,,8.83,,,,,8.5,,,,,7.77,,,,,7.05,,,,,5.92,,,,,5.42,,,,,6.64,,,,,6.63,,,,,6.84,,,,,6.55,,,,,6.19,,,,,7.06,,,,,8.57,,,,,10.4,,,,,11.7,,,,,13.2,,,,,14.8,,,,,16.9,,,,,19.6,,,,,22.2,,,,,23.6,,,,,24.2,,,,,25.5,,,,,27.1,,,,,28.7,,,,,29.7,,,,,30.5,,,,,31.2,,,,,32
Vanuatu,4.05,,,,,3.85,,,,,3.72,,,,,3.67,,,,,4.24,,,,,4.15,,,,,4.16,,,,,4.46,,,,,5.29,,,,,5.2,,,,,5.05,,,,,5.19,,,,,5.75,,,,,6.47,,,,,7.06,,,,,8.15,,,,,9.01,,,,,9.92,,,,,11,,,,,12.4,,,,,13.9,,,,,15,,,,,16.4,,,,,17.5,,,,,19.1,,,,,20.5,,,,,21.9,,,,,23.3,,,,,24.6,,,,,25.9,,,,,27.2
Venezuela,3.53,,,,,3.45,,,,,3.53,,,,,3.67,,,,,3.92,,,,,4.29,,,,,4.65,,,,,4.95,,,,,5.68,,,,,6.02,,,,,6.6,,,,,7.36,,,,,8.26,,,,,9.39,,,,,10.9,,,,,12.9,,,,,14.8,,,,,16.3,,,,,17.9,,,,,19.7,,,,,21.7,,,,,23.5,,,,,25.1,,,,,26.7,,,,,28.4,,,,,29.9,,,,,31.3,,,,,32.5,,,,,33.6,,,,,34.5,,,,,35.3
Vietnam,6.62,,,,,6.93,,,,,7.11,,,,,7.47,,,,,7.4,,,,,6.95,,,,,7.02,,,,,7.07,,,,,8.16,,,,,8.49,,,,,8.64,,,,,8.63,,,,,8.88,,,,,10.3,,,,,12.5,,,,,15,,,,,17.5,,,,,20.2,,,,,22.8,,,,,25.5,,,,,28.3,,,,,30.8,,,,,31.5,,,,,31.8,,,,,32.5,,,,,33.4,,,,,34.2,,,,,34.8,,,,,35.2,,,,,35.3,,,,,35.5
Yemen,5.88,,,,,5.41,,,,,5.06,,,,,4.77,,,,,4.59,,,,,4.47,,,,,4.19,,,,,3.89,,,,,3.88,,,,,4.58,,,,,4.32,,,,,4.24,,,,,4.38,,,,,4.51,,,,,4.69,,,,,4.95,,,,,5.22,,,,,5.65,,,,,6.66,,,,,8.07,,,,,9.85,,,,,11.8,,,,,13.4,,,,,14.9,,,,,16.6,,,,,18.4,,,,,20.3,,,,,22.1,,,,,23.8,,,,,25.3,,,,,26.8
Zambia,4.17,,,,,3.94,,,,,3.93,,,,,3.97,,,,,4.04,,,,,4.06,,,,,4.04,,,,,4,,,,,4.25,,,,,4.18,,,,,4.05,,,,,3.94,,,,,3.83,,,,,3.71,,,,,3.68,,,,,3.8,,,,,4.1,,,,,4.64,,,,,5.32,,,,,6.01,,,,,6.71,,,,,7.45,,,,,8.32,,,,,9.27,,,,,10.2,,,,,11.1,,,,,12.1,,,,,13.2,,,,,14.2,,,,,15.3,,,,,16.3
Zimbabwe,5.09,,,,,5.09,,,,,4.97,,,,,4.78,,,,,4.56,,,,,4.36,,,,,4.38,,,,,4.18,,,,,4.56,,,,,4.6,,,,,4.58,,,,,4.55,,,,,4.25,,,,,4.24,,,,,4.26,,,,,4.38,,,,,4.64,,,,,5.27,,,,,6.46,,,,,8.05,,,,,9.67,,,,,11.2,,,,,12.6,,,,,14.1,,,,,15.8,,,,,18,,,,,19.9,,,,,21.5,,,,,23,,,,,24.6,,,,,26
