country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
"Congo, Dem. Rep.",4.88,,,,,4.53,,,,,4.41,,,,,4.38,,,,,4.38,,,,,4.4,,,,,4.43,,,,,4.44,,,,,4.75,,,,,4.75,,,,,4.73,,,,,4.73,,,,,4.72,,,,,4.66,,,,,4.68,,,,,4.78,,,,,4.96,,,,,5.2,,,,,5.51,,,,,5.91,,,,,6.42,,,,,7.04,,,,,7.79,,,,,8.77,,,,,9.99,,,,,11.4,,,,,12.9,,,,,14.5,,,,,16.1,,,,,17.8,,,,,19.5
"Congo, Rep.",5.28,,,,,5.34,,,,,5.54,,,,,5.63,,,,,5.62,,,,,5.52,,,,,5.4,,,,,5.3,,,,,5.71,,,,,5.6,,,,,5.4,,,,,5.18,,,,,5.02,,,,,5.09,,,,,5.31,,,,,5.7,,,,,6.25,,,,,6.93,,,,,7.66,,,,,8.27,,,,,8.68,,,,,9.04,,,,,9.63,,,,,10.5,,,,,11.7,,,,,12.9,,,,,14.1,,,,,15.1,,,,,16.3,,,,,17.5,,,,,18.7
Costa Rica,4.54,,,,,4.52,,,,,4.51,,,,,4.63,,,,,4.92,,,,,5.34,,,,,5.57,,,,,5.85,,,,,7.07,,,,,7.62,,,,,8.34,,,,,9.45,,,,,11.1,,,,,12.8,,,,,15.2,,,,,18,,,,,20.6,,,,,22.6,,,,,25,,,,,27.7,,,,,30.5,,,,,32.9,,,,,35,,,,,36.3,,,,,37.5,,,,,38.4,,,,,39.1,,,,,39.5,,,,,39.7,,,,,39.9,,,,,40
Cote d'Ivoire,3.84,,,,,3.92,,,,,3.97,,,,,3.96,,,,,3.92,,,,,3.89,,,,,3.89,,,,,3.97,,,,,4.4,,,,,4.56,,,,,4.58,,,,,4.6,,,,,4.66,,,,,4.74,,,,,4.82,,,,,4.9,,,,,4.99,,,,,5.19,,,,,5.51,,,,,5.87,,,,,6.32,,,,,6.9,,,,,7.61,,,,,8.27,,,,,8.91,,,,,9.63,,,,,10.4,,,,,11.3,,,,,12.1,,,,,13,,,,,13.8
Croatia,10.2,,,,,9.45,,,,,10.3,,,,,11.8,,,,,13.6,,,,,14.4,,,,,13.4,,,,,13.8,,,,,17.4,,,,,20.1,,,,,21.8,,,,,21.9,,,,,23.8,,,,,25.8,,,,,28,,,,,30,,,,,31.2,,,,,32.7,,,,,34.3,,,,,35.8,,,,,37.1,,,,,37.6,,,,,38.3,,,,,38.2,,,,,38.7,,,,,39.1,,,,,39.1,,,,,39,,,,,38.9,,,,,38.8,,,,,38.9
Cuba,6.33,,,,,6.29,,,,,6.72,,,,,7.54,,,,,8.31,,,,,9.07,,,,,9.68,,,,,10,,,,,12.1,,,,,12.7,,,,,13.8,,,,,15.2,,,,,17,,,,,19.4,,,,,21.6,,,,,26.4,,,,,30.9,,,,,34.7,,,,,35.7,,,,,36.5,,,,,38.2,,,,,39,,,,,39.2,,,,,38.9,,,,,38.4,,,,,38.6,,,,,39,,,,,39.3,,,,,39.4,,,,,39.5,,,,,39.7
Cyprus,8.48,,,,,9.12,,,,,8.83,,,,,9.3,,,,,12.3,,,,,11.8,,,,,11.4,,,,,11.6,,,,,13.6,,,,,13.9,,,,,14.1,,,,,14.9,,,,,16.1,,,,,17.7,,,,,19.8,,,,,22,,,,,24.1,,,,,26,,,,,28.3,,,,,30.6,,,,,32.7,,,,,34.5,,,,,36.1,,,,,37.3,,,,,38.1,,,,,38.6,,,,,38.9,,,,,38.9,,,,,38.8,,,,,38.8,,,,,38.9
Czech Republic,11.5,,,,,11.9,,,,,13.3,,,,,15.1,,,,,16.7,,,,,17.3,,,,,14.8,,,,,15.4,,,,,17.9,,,,,18,,,,,18.2,,,,,19.8,,,,,22.4,,,,,24.9,,,,,26.3,,,,,27.5,,,,,28.7,,,,,31.4,,,,,34.4,,,,,35.7,,,,,36.7,,,,,37,,,,,35.9,,,,,35,,,,,34.9,,,,,34.9,,,,,35,,,,,35.1,,,,,35.2,,,,,35.2,,,,,35.5
Denmark,12.1,,,,,12.9,,,,,13.9,,,,,14.7,,,,,15.6,,,,,16.3,,,,,16.7,,,,,17.1,,,,,20.4,,,,,19.8,,,,,19.8,,,,,21.2,,,,,23.3,,,,,24.8,,,,,26.2,,,,,27.8,,,,,29.4,,,,,30.1,,,,,30.3,,,,,29.8,,,,,30,,,,,31,,,,,31.6,,,,,32,,,,,32.5,,,,,32.7,,,,,33,,,,,33.5,,,,,34.1,,,,,34.6,,,,,35.1
Djibouti,3.32,,,,,3.59,,,,,3.76,,,,,3.8,,,,,3.82,,,,,3.84,,,,,3.66,,,,,3.85,,,,,4.19,,,,,4.48,,,,,4.77,,,,,5.21,,,,,5.77,,,,,6.17,,,,,6.93,,,,,8,,,,,9.07,,,,,10.2,,,,,11.8,,,,,13.3,,,,,15.6,,,,,17.5,,,,,19.2,,,,,20.7,,,,,21.7,,,,,22.7,,,,,23.6,,,,,24.5,,,,,25.5,,,,,26.3,,,,,26.9
